Pizza By Certe,Pizza,7,$,pricey,$3.5 a slice,"pizza types: italian wedding, farmers, mushroom, veggie on quinoa, bolognese, san francisco (kale and mushroom covered pizza)","italian wedding is meh, farmers is super light, love the veggie, mushroom is pretty good, bolognese is pretty good. love the san francisco",maybe,,Lunch,http://www.certenyc.com
Saigon Vietnamese Sandwich Deli,Vietnamese,6,$,pricey,$5.5-6.5,"house special banh mi (pork, pate, etc), pho","not bad, but i prefer banh mi saigon. too much mayonaisse, they put hot sauce when I requested non spicy. Pho is pretty good",unlikely,,Lunch,http://www.vietnamese-sandwich.com
Kati Roll Company,Indian,5,$,decent,"$5-6/roll, probly need 2",Unda Chicken Tikka (egg w/chicken tikka) on roti; Achari Paneer (cheese) on paratha,liked the chicken better; cheese was bit bland; liked the roti better too -- paneer one might have tasted bland b/c paratha is thicker,maybe,,Lunch,http://www.thekatirollcompany.com
Toasties,Deli,7,$,expensive,$8.75ish for a sandwich,"sloop dan B (hot roast turkey, pastrami, slaw, russian dressing, pepper jack cheese) on multigrain, popeye whole wheat wrap, amy's cupboard cookies, annabel sandwich (roasted turkey, apple butter, gouda, mesclun)","oatmeal raisin cookies better, love the sloop dan B, popeyes is great. annabel sandwich was bland. people at 51st and 5th location are nice",if i'm not paying,sloop dan B sandwich,Lunch,http://www.newtoasties.com
chickpea & olive,Veg/Vegan,6,$,below avg,$9 for a burger,"beet burger (roast mushrooms, caramelized onions, horseradish aioli, tomato)",good but small. didn't think there were enough toppings,possibly,,Lunch,http://www.chickpeaandolive.com/
Joju,Vietnamese,8,$,little below average,$8.15 after tax,"bulgogi ""bomb me""- bahn mi with bulgogi and runny egg",delicious. bulgogi was fantastic. loved the runny egg. not enough cucumber,yes,,Lunch,http://www.jojuny.com
HRD Coffee Shop,Korean,6,$$,fair,$10-12/entree,bulgolgi kimchee burrito,"pretty good flavor -- burrito had daikon, sprouts, cucumber but not enough of the veggies.",probably,,Lunch,http://www.hrdcoffeeshop.com
Ikes Place,Sandwiches,10,$$,decent,$8-12 a sandwich,"2015: Spiffy Tiff on Dutch Crunch 2014: Going Home For Thanksgiving on sourdough (Cranberry Sauce, Havarti, Sriracha, Turkey) and Menage a Trois (BBQ, Cheddar, Halal Chicken, Honey Mustard, Pepper Jack, Real Honey, Swiss) on dutch crunch","delicious, filling, messy and wet sandwiches. siracha added interesting flavor. bread was delicious. spiffy tiffy was w/deli turkey b/c they ran out of chicken--mushrooms was the best part of the sandwich",CHEAA,,Lunch,http://www.ilikeikesplace.com
Naf Naf Grill,Mediterranean,7,$$,fair,$8-10/sandwich/salad,"chicken shwarma salad, fries","really good flavor on the salad, fries got soggy really quickly",for lunch maybe,,Lunch,
Diddy Riese,Dessert,7,$,cheap,"$2.50/6 cookies, $2 ice cream sandwich","choco chip cookies, white choco macademia nut, oatmeal raisin w/walnut, PB, chocolate cooke w/white choco, cinnamon sugar, m&m cookies","choco chip was really good, PB and cinnamon sugar weren't too sweet, but they're all a bit sweet for me. ice cream sandwich/cookies aren't bad, they're very good, but there's nothing special--it's just very cheap",,,,http://www.yelp.com/biz/diddy-riese-los-angeles
Eggslut,American (New),7,$$,pricey,$9-11,"SLUT - a coddled egg on top of a smooth potato puree, poached in a glass jar and served with a demi baguette","poached egg was delicious. tiny, but delicious. salad had too much dressing",,,,http://www.yelp.com/biz/eggslut-los-angeles-2
Randys Donuts,Dessert: Donuts,7,$,cheap,$1ish/donut,"honey wheat, glazed twist, lemon jelly, bear claw",fan of the honey wheat and twist. I think we got the bear claw -- v. good but cake like. skip the lemon jelly -- artificial lemon flavor. apparently they're in iron man?!,,,,http://www.yelp.com/biz/randys-donuts-inglewood
Upper West,American (New),8,$$$,pricey,"$11-14/app, $23-27/entree","['Seafood', 'Soup']","LOVED the key lime tart -- tasted fantastic w/the coconut sorbet (sorbet was ok on its own); lamb crepes were really good, lamb flatbread/ahi tuna tacos were good; wouldn't get octopus again, skip the mushroom--couldn't taste the truffle and it was one dimensional. service is really good and I liked the atmosphere",,,,http://www.yelp.com/biz/upper-west-santa-monica
Big Wong Restaurant,Chinese,2,$,cheap,cheap,"chashaorou, zhou","chashaorou is good, shouroupidanzhou is good; everything else here sucks",doubt it,"chashaorou is good, shouroupidanzhou",,http://bigwongking.com/
Calexico,Mexican,4,$$,expensive,$14 for 2 decent sized tacos,"baja fish taco, la ? taco","lots of breading, little meat. tacos were pretty good flavor wise but nothing special",nothing special,,,http://calexico.net
City Kitchen,American (New),8,$$,fair,$12ish,"smoked mozz pizza, crab cake benedict","pretty good and nice environment. brunch has free bread, brunch is huge portioned/comes w/potato cake.",yes,,,http://citykitchenchapelhill.com/
Craftsman and Wolves,Bakery,6,$,average,"$8 for desserts, $9-12 for food","rebel within muffin, cube cakes (strawberry, straus yogurt and wildflower honey), red wine braised chicken, smoked bacon and mushroom cocotte; creme fraiche, grains of paradise, muscovado morning bun","muffin was disappointing, but wasn't warm. loved the cube cake--not too sweet. chicken pot pie was delicious--pastry was flaky, sauce was tasty, loved the jar presentation. muscovado morning bun was disappointing -- dry and flavorless",yes,chicken pot pie,,http://craftsman-wolves.com/
Hahm Ji Bach,Korean,6,$$$,not cheap,$15-20/entree,"H-7 (seafood casserole), japchae, beef bbq special","casserole was good -- good flavoring, lots of seafood, good portion for a large ($37), wish there were more noodles; japchae was good but tiny portion for $16; bbq seemed to be not much beef for $60...so many banchan (fried tofu squares were best), red rice was good but no beans in it",if i were in the area,,,http://hahmjibach.com/
Little Goat Diner,American (New),8,$$,average,$13-14/burger,"2019: piggy went to china, strawberry fields pie, bibimbop rice bowl, OKONOMIYAKI; 2015?: korean and mushroom goat burgers, pb&j pie","2019: piggy went to china was awesome. LOVED the dessert. OKONOMIYAKI was really good, bi bim bop was wayyy too acidic; mushroom burger was cooked medium, korean was med rare -- korean had better bun, mushroom was good by liquidy; pb&j pie is AMAZING -- peanut butter/jelly taste not overpowering and perfect combo",yes,STRAWBERRY MOUSSE PIE + PB&J Dessert!!,,http://littlegoatchicago.com/
Rock Center Cafe,American,6,$$$,pricey,$21 for falafel burger $26+ for non-veg options,falafel burger,good choice stu! -- pretty good,if i'm not paying,,,http://OrderRockCenterCafe.com
SUNdeVICH,Sandwiches,4,$$,expensive,$12 for SEOUL,"SEOUL sandwich (bulgogi beef, kimchi, asian slaw, greens, garlic mayo + fried egg)","bread was soggy and chewy (10 inch sub), bulgolgi was perfectly seasoned and cooked, couldn't taste the egg",nothing special,Lunch,,http://sundevich.com
Babbo,Italian,6,$$$$,expensive,"$15-17/app, $22-24 for seafood, $18-20 for pastas","grilled quail, grilled octopus, seared halibut, black spaghetti with Fennel, Jalapenos and Bottarga",everything was amazing. loved the char on the octopus. spaghetti was light and delicious. free bread was meh.,if i'm not paying for it,see thoughts,,http://www.babbonyc.com
B&G Oysters,Seafood,3,$$$,expensive,$26/portion (small WF container),squid ink pasta w/sauteed squid,too bitter to my liking. not even a fan,probably not,,,http://www.bandgoysters.com
Banh Mi Saigon,Vietnamese,10,$,what a steal,$5 a sandwich,Chicken banh mi (#2),SO GOOD,CHEAA,Chicken banh mi (#2),,http://www.banhmisaigonnyc.com
Bareburger,Burgers,5,$$,expensive,$15 for bison burger; $12 other burgers,bison burger on mowie wowie;turkey on pesto and mozz; ostrich on some blue cheese one,"ostrich was dry, turkey flavorless, liked the bison, burgers are small",possibly,bison burger,,http://www.bareburger.com
Bebos BBQ,BBQ,3,$,cheap,everything by weight. $60 for 4 for almost 2 meals,"chicken sausage, roast chicken, ribs, pork butt, yuca, sweet plantain, sweet potato","really liked the chicken sausage (literally chicken chunks in sausage form), ribs needed bbq sauce and they didn't have any. everything was good, but nothing special. extremely slow service and the location smells/has lots of pigeons eating around you",not worth it,,,http://www.bebosbbqpr.com
Bills Bar & Burger,American,5,$$,ok,"$14 for 3 fish tacos, $8 for burger but no sides","turkey burger, fish tacos; mini corndogs","good, but nothing special",wouldn't be against it,,,http://www.billsbarandburger.com/
Billys Bakery,Bakery,6,$,expensive,,Pumpkin cupcake with cinnamon frosting,so good,if i'm not paying,,,http://www.billysbakerynyc.com/
Blue Ribbon Brasserie,American,6.5,$$$$,pricey,,"shrimp provencal, duck breast","duck breast was amazing. shrimp were huge, slightly overcooked but sauce was delicious",if i'm rich/looking for an great meal and it's btwn 10 pm and 4 am on a non Fri/Sat,Late-Night,,http://www.blueribbonrestaurants.com
Blue Smoke,BBQ,6,$$$,pricey,,"pulled pork bbq sandwich, fries","average compared to NC, below average given the price. Go south",if i'm not paying for it,,,http://www.bluesmoke.com/
Bocata,Seafood,9,$$$$,nyc avg,"$17-20 for entrees, but entrees were kind og small","warm octopus salad, sea bass with sweet potato puree, sea food risotto, osso bucco, aged sliced meat","LOVVVEEDD the warm octopus salad, sea bass, and seafood risotto; pass on the aged sliced meat (good but just not my thing), osso bucco was bland...mom asked for salt...",yes,"warm octopus salad, sea bass, seafood risotto",,http://www.bocata.ca/
Bombay Pizza Co.,Pizza: Thin Crust,3,$$,bit pricey,$25 for a large,"1/2 saag paneer, 1/2 gateway to india","cracker thin crust. not bad, but was not what i was expecting. not a big fan.",probably not,,,http://www.bombaypizzaco.com
Point G,Dessert,6,$$,"good. i hear lauderee is $2.50 each, maybe higher","$1.65 each. $10 for 6, $28 for 20. tax included",macaroons!!,"loved the madagascar vanilla, hazelnut, pistacio, sex on the beach, apricot, fleur de sel, chocolate caramel, ; ok: gingerbread, creme brulee, lavender, choco passion, raspberry, vodka, TI punch (beer)",if in the area,,,http://www.boutiquepointg.com
Buns,Burgers,7,$,fair,$7 for a burger,"mexican burger (chorizo and beef w/avocado, tomato, pepper jack, chipotle mayo), fries, sweet potato fries",decent sized and really good. fries were meh,wouldn't be against it,,,http://www.bunsofchapelhill.com
Burger Joint,Burgers,6,$$,pricey,"$9 for a burger, $4 for fries","cheeseburger w/onions, pickles, lettuce, tomato",pretty good--had a nice char. wish there were more cheese,if i'm not paying for it,,,http://www.burgerjointny.com
Celeste,Italian,3,$$,"pretty good, but only because other italian restaurants are all overpriced",$12/entr_e,some tagiatelle -- Egg noodles with shrimp,"wanted to love it since I came with molly, but it was only not bad. not a big fan of pasta anyways","maybe, but unlikely",,,http://www.celestenewyork.com
Certe,Deli,6,$$,average,"$8-9 for sandwich, $10-12 for entrees","thanksgiving dip, fish tacos, spare ribs w/mint, chicken saltimbocca sandiwch, glazed sirloin, chicken salbimtocca, veggie lasagna","sandwiches are awesome, thanksgiving dip is awesome, sirloin little sweet but loved the wrap, turkey can be dry at times (hit or miss). lasagna is pretty good",good but I wouldn't pay for it,Lunch,,http://www.certenyc.com
Churrascaria Plataforma,Brazillian Steakhouse,7,$$$$,expensive,$50/person?,"filet mignons, parmesan crusted meats, salad bar, bread",all delicious. salad bar >> fogo's,if i'm not paying for it,,,http://www.churrascariaplataforma.com/
Cinnamon Snail,Veg/Vegan,3,$$,expensive,$8-9 for a small sandwich,"pumpkin pie doughnut, maple mustard tempeh, smoked portabello mushroom carpaccio","doughnut was good but not > doughnut plant, maple mustard > mushroom carp which was just super super salty. maple mustard bread looked like cheap shit from fine fare and was small ($8-9)",maybe - really wnated to like it,Lunch,,http://www.cinnamonsnail.com
Co.,Pizza: Neopolitan,10,$$,fair,,POPEYE PIZZA AND BANOFFEE,One of my favorite places ever,CHEAA,POPEYE PIZZA AND BANOFFEE,,http://www.co-pane.com
Dinamo,Italian,9,$$$,fair,$25ish for seafood,"squid ink seafood pasta, whole grilled branzino",lovveedd the pasta--large portion and lots of seafood. fish was v. good,yes,squid ink seafood pasta,,http://www.dinamorichmond.com/
Empanada Mama,Latin American,8,$,pretty cheap,$3.3/empanada,viagara (seafood) and baked spinach and feta empanada,"spinach and feta was meh, viagara was delicious. empanadas were kind of small",yes,viagara empanada,,http://www.empmamanyc.com
Far East Taco Grille,Asian Fusion,4,$,average,$8i/burrito,"steak burrito, bahn mi style",not bad but nothing close to being memorable. sishener really liked it,nothing special,,,http://www.fareasttacogrille.com/
Ferreira Cafe,Portuguese,10,$$$$$,pretty good for quality and volume,"$35-45 an entree, $16-18 an app","BLACK COD, seafood paella, lamb chops, grilled octopus, grilled calamari, fish bouillabaisse, fig cake!","BLACK COD AND LAMB CHOPS OMG SO GOOD. the sauce on the lamb chops. both were worth the $45 price tag. skip the paella and fish stew--nothing special. grilled seafood was v. good--octopus was better than calamari b/c of flavor. get the fig cake with sweet potato ice cream--FANTASTIC.  great portion size for the type of restaurant--4 lamb chops, fig cake, and black cod portion were huge and were so good i'd come here with my own money.",CHEAA,BLACK COD,,http://www.ferreiracafe.com
Chola,Indian,6,$$,little pricey,$15/person for saturday,"lunch buffet -- saag paneer, chicken tikka masala, goat curry, lamb biriyani, some chicken w/mushrooms, eggplant, veggie dish, some chickpea and onions w/a doughy disk","paneer was disappointing, tikka masala was really good, veggies were pretty good, liked the goat curry and lamb biriyani, and the random chickpea and onion thing they gave",wouldn't be against it,,,http://www.fineindiandining.com
Forcella,Pizza: Neopolitan,6,$$,average,"$13 for montanara, $18-22 specialty pizzas","montanara (fried pizza), and san gregorio (pesto-tomato sauce pizza)","montanara crust/dough was v. good--lightly fried, didn't feel heavy. san gregorio was only pretty good b/c loaded w/cheese. tomato/pesto mix not very noticeable. thought tomato sauce was too acidic","maybe, but unlikely",,,http://www.forcellaeatery.com
Fornino,Pizza: Neopolitan,6,$$,average,$14/22 for personal/large,"TREVISANA (Tomato, Mozzarella, Pancetta, Radicchio, Goat Cheese, Cherry Tomato); Spinach (Mozzarella, Ricotta, Pecorino, Spinach, Pine Nuts, White Truffle Oil, Parmigiano), special fig and gorgonzola pizza?",spinach pizza was fantastic--would prefer more cheese. didn't like trevisana b/c of the goat cheese. fig was disappointing -- only not bad,if in the area,spinach pizza,,http://www.forninopizza.com/
Gilt Bar,American (New),7,$$,decent,"$14 for pasta, $17 for mussels","truffle pasta, mussels","mmmmmmm both soooo good. mussel broth was light, french bread was crunchy and soft inside, pasta very rich tasting but sooo good",yes,Truffle Pasta,,http://www.giltbarchicago.com
Girl & the Goat,American (New),10,$$$,i wish i were rich,"$18 for small, $30 for large","2017: duck tartar, calamari bruschetta, escargot ravioli, lamb neck, chocolate cake with shiitake gelato. 2016: octopus, goat empanada, mini scallop. 2012: apple bread, cauliflower, cauliflower, pig face, pumpkin pie gelato with spiced cake, spiced pecans, goat stout, and thai whipped cream","2017: everything was fantastic. holy shit. i just gave them a 10. dessert was the least impressive thing here and it was still fantastic. 2016: goat empanada was fantastic--i'd get this again. octopus was cooked properly, but the dish didn't gel. scallop was perfectly cooked and delicious, but $8 for 1 (half portion) 2012: dessert is tied for #1 fav dessert ever. cauliflower was meh, apple bread was just piping hot soft bread, pig face was intersting, but lots of fat",yes,everything from 2017 + pumpkin pie gelato dessert,,http://www.girlandthegoat.com/
Gramercy Tavern,American (New),9,$$$$$,All the food fit in the palm of my hand and I don't have shaq hands,$48 for tasting menu,4 course tasting menu for $48; off menu bacon cheeseburger,hangar steak was so good. LOVED the crispy quinoa and LEMON ICE BOX!! really liked the pecan tart as well. bacon cheeseburger was fantastic--bacon was delicious. peach sundae dessert was good summer dessert but a bit too tart,yes! when i'm ok with spending $60 on dinner and leaving hungry...or when mom is in town again,lemon ice box dessert,,http://www.gramercytavern.com
Grimaldis,Pizza,5,$,overpriced,$7 for 2.5 slices,"extra mozz, mushrooms and sausage","sauce was a little too acidic for me, crust was crunchy and foldable, but bottom was soggy/uneven thickness at times. cheese was best part, sausage was good, crust was good, couldn't taste mushroom",maybe for takeout,,,http://www.grimaldisconeyisland.com/
