Tamaliza,tamaliza-sedona-4,https://www.yelp.com/biz/tamaliza-sedona-4,671,4.5,-111.7812231,34.86245252,FALSE,(928) 202-9056,1155 W State Rte 89A,"Sedona, AZ 86336","Mexican, Latin American, Gluten-Free",Sedona,AZ,Arizona
Dim Sim,dim-sims-at-south-melbourne-market-south-melbourne,https://www.yelp.com/biz/dim-sims-at-south-melbourne-market-south-melbourne,14,3.5,144.9566849,-37.8329396,FALSE,+61 96994819,322-326 Coventry St,South Melbourne Victoria 3205,"Dim Sum, Food Stands",Melbourne,Australia,Australia
Higher Ground,higher-ground-melbourne,https://www.yelp.com/biz/higher-ground-melbourne,54,4.5,144.953041,-37.815824,FALSE,+61 3 8899 6219,650 Little Bourke St,Melbourne Victoria 3004,"Coffee & Tea, Music Venues",Melbourne,Australia,Australia
Quanjude,quanjude-melbourne,https://www.yelp.com/biz/quanjude-melbourne,6,4,144.958854,-37.811309,FALSE,+61 3 9670 0091,299 Queen St,Melbourne Victoria 3000,Chinese,Melbourne,Australia,Australia
Simply Spanish,simply-spanish-melbourne,https://www.yelp.com/biz/simply-spanish-melbourne,7,4.5,144.9581315,-37.8164602,FALSE,+61 3 9620 3332,Shop 10,555 Bourke St,"Tapas/Small Plates, Spanish",Melbourne,Australia,Australia
Simply Spanish,simply-spanish-qvm-melbourne,https://www.yelp.com/biz/simply-spanish-qvm-melbourne,3,3.5,144.959546,-37.806874,FALSE,+61 3 9328 3001,513 Elizabeth St,Melbourne Victoria 3000,Restaurants,Melbourne,Australia,Australia
Simply Spanish,simply-spanish-south-melbourne,https://www.yelp.com/biz/simply-spanish-south-melbourne,17,4,144.957286,-37.832095,FALSE,+61 3 9682 6100,116 Cecil St,South Melbourne Victoria 3205,Restaurants,Melbourne,Australia,Australia
South Melbourne Seafood Peddler,south-melbourne-seafood-peddler-south-melbourne,https://www.yelp.com/biz/south-melbourne-seafood-peddler-south-melbourne,3,5,144.956946,-37.83164137,FALSE,,Corner of Cecil & York Streets,South Melbourne Victoria 3205,"Street Vendors, Seafood",Melbourne,Australia,Australia
12 Rocks Cafe and Bar,12-rocks-cafe-and-beach-bar-port-campbell,https://www.yelp.com/biz/12-rocks-cafe-and-beach-bar-port-campbell,26,3.5,142.994154,-38.620059,FALSE,+61 3 5598 6123,19 Lord St,Port Campbell Victoria 3269,"Coffee & Tea, Fast Food",Port Campbell,Australia,Australia
Nico's Pizza,nicos-pizza-and-pasta-port-campbell,https://www.yelp.com/biz/nicos-pizza-and-pasta-port-campbell,12,4,142.99469,-38.61975,FALSE,+61 3 5598 6131,25 Lord St,Port Campbell Victoria 3269,"Pizza, Fast Food",Port Campbell,Australia,Australia
The Alcove Cafe,the-alcove-cafe-port-campbell,https://www.yelp.com/biz/the-alcove-cafe-port-campbell,6,2.5,142.995494,-38.619672,FALSE,+61 3 5598 6003,Lord St,Port Campbell Victoria 3269,"Restaurants, Coffee & Tea",Port Campbell,Australia,Australia
Blackbird,blackbird-and-co-cafe-sydney,https://www.yelp.com/biz/blackbird-and-co-cafe-sydney,5,4,151.18745,-33.9063,FALSE,+61 2 9516 1961,Shop 1,177 Mitchell Rd,"Cafes, Coffee & Tea, Breakfast & Brunch",Sydney,Australia,Australia
Blackbird,blackbird-cafe-sydney-4,https://www.yelp.com/biz/blackbird-cafe-sydney-4,38,3,151.201276,-33.86701107,FALSE,+61 2 9283 7385,Wheat Road,Balcony Level 1,"Coffee & Tea, Breakfast & Brunch, Venues & Event Spaces",Sydney,Australia,Australia
Chef's Gallery Townhall,chefs-gallery-townhall-sydney,https://www.yelp.com/biz/chefs-gallery-townhall-sydney,92,4,151.20661,-33.874638,FALSE,+61 1300 824 337,"Shop 12,",501 George St,"Chinese, Noodles",Sydney,Australia,Australia
Mamak,mamak-haymarket-3,https://www.yelp.com/biz/mamak-haymarket-3,264,4,151.204231,-33.877862,FALSE,+61 2 9211 1668,15 Goulburn St,Haymarket New South Wales 2000,Malaysian,Sydney,Australia,Australia
The Rook,the-rook-sydney,https://www.yelp.com/biz/the-rook-sydney,75,4,151.20643,-33.86982,FALSE,+61 2 9262 2505,Level 7,56-58 York St,"Burgers, Seafood, Venues & Event Spaces",Sydney,Australia,Australia
Area Four,a4cade-by-area-four-cambridge,https://www.yelp.com/biz/a4cade-by-area-four-cambridge,129,3.5,-71.0983939,42.3620629,FALSE,(617) 714-3960,292 Massachusetts Ave,"Cambridge, MA 02139","Arcades, Cocktail Bars",Boston,MA,Boston
Area Four,area-four-boston-boston,https://www.yelp.com/biz/area-four-boston-boston,166,4,-71.06311359,42.34324912,FALSE,(857) 317-4805,264 E Berkeley St,"Boston, MA 02118","Bars, Diners, Breakfast & Brunch",Boston,MA,Boston
Area Four,area-four-cambridge-3,https://www.yelp.com/biz/area-four-cambridge-3,843,4,-71.0924589,42.363073,FALSE,(617) 758-4444,500 Technology Sq,"Cambridge, MA 02139","Pizza, American (Traditional), Bars",Boston,MA,Boston
Area Four,area-four-food-truck-boston,https://www.yelp.com/biz/area-four-food-truck-boston,15,3,-71.061224,42.351139,FALSE,,Dewey Sq,"Boston, MA 02111","Bakeries, Sandwiches, Food Trucks",Boston,MA,Boston
Atlantic Fish Company,atlantic-fish-boston-3,https://www.yelp.com/biz/atlantic-fish-boston-3,2271,4,-71.08112729,42.34922179,FALSE,(617) 267-4000,761 Boylston St,"Boston, MA 02116","Seafood, Live/Raw Food, Cocktail Bars",Boston,MA,Boston
B&G Oysters,b-and-g-oysters-boston,https://www.yelp.com/biz/b-and-g-oysters-boston,963,4,-71.07123,42.34388,FALSE,(617) 423-0550,550 Tremont St,"Boston, MA 02116","Seafood, Wine Bars",Boston,MA,Boston
Del Friscos Grille,del-friscos-double-eagle-steakhouse-boston-2,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-boston-2,18,3.5,-71.0843872,42.3480192,FALSE,(617) 259-1568,888 Boylston St,Ste 053,Steakhouses,Boston,MA,Boston
Del Friscos Grille,del-friscos-double-eagle-steakhouse-boston-4,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-boston-4,868,3.5,-71.03849452,42.34890887,FALSE,(617) 951-1368,250 Northern Ave,Ste 200,"Seafood, Steakhouses, American (Traditional)",Boston,MA,Boston
Del Friscos Grille,del-friscos-grille-burlington,https://www.yelp.com/biz/del-friscos-grille-burlington,352,3,-71.216794,42.4787999,FALSE,(781) 365-2005,92 Middlesex Tpke,"Burlington, MA 01803","Breakfast & Brunch, Bars, Steakhouses",Boston,MA,Boston
Del Friscos Grille,del-friscos-grille-chestnut-hill,https://www.yelp.com/biz/del-friscos-grille-chestnut-hill,169,3,-71.1686122,42.32297,FALSE,(617) 608-3682,33 Boylston St,Ste 3370,"American (New), Bars, Steakhouses",Boston,MA,Boston
Del Friscos Grille,del-friscos-grille-westwood,https://www.yelp.com/biz/del-friscos-grille-westwood,66,3.5,-71.14966487,42.21088929,FALSE,(781) 801-1511,60 University Ave,"Westwood, MA 02090","American (New), Steakhouses",Boston,MA,Boston
Flour Bakery,flour-bakery-and-cafe-boston-2,https://www.yelp.com/biz/flour-bakery-and-cafe-boston-2,840,4,-71.074548,42.338443,FALSE,(617) 267-4300,1595 Washington St,"Boston, MA 02118","Bakeries, Coffee & Tea, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-boston-4,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-4,1041,4.5,-71.04881,42.35137,FALSE,(617) 338-4333,12 Farnsworth St,"Boston, MA 02210","Bakeries, Coffee & Tea, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-boston-5,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-5,890,4,-71.07382614,42.34825692,FALSE,(617) 437-7700,131 Clarendon St,"Boston, MA 02116","Coffee & Tea, Bakeries, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-boston-6,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-6,87,4.5,-71.08477235,42.34596018,FALSE,(857) 233-2255,30 Dalton St,"Boston, MA 02115","Bakeries, Desserts, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-boston-7,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-7,1,5,-71.03292278,42.34466007,FALSE,(857) 449-0315,19 Drydock Ave,"Boston, MA 02210","Coffee & Tea, Specialty Food, Bakeries",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-cambridge,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-cambridge,847,4,-71.0966181,42.36101077,FALSE,(617) 225-2525,190 Massachusetts Ave,"Cambridge, MA 02139","Coffee & Tea, Bakeries, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-cambridge-2,https://www.yelp.com/biz/flour-bakery-cafe-cambridge-2,107,4,-71.12257,42.373019,FALSE,(617) 714-3205,114 Mount Auburn St,"Cambridge, MA 02138","Coffee & Tea, Bakeries, Sandwiches",Boston,MA,Boston
Flour Bakery,flour-bakery-cafe-cambridge-4,https://www.yelp.com/biz/flour-bakery-cafe-cambridge-4,22,4,-71.104206,42.357787,FALSE,(617) 945-0322,40 Erie St,"Cambridge, MA 02139","Bakeries, Sandwiches, Desserts",Boston,MA,Boston
J.P. Licks,j-p-licks-boston-5,https://www.yelp.com/biz/j-p-licks-boston-5,172,4,-71.07084699,42.35996068,FALSE,(857) 233-2771,150 Charles St,"Boston, MA 02114","Ice Cream & Frozen Yogurt, Coffee & Tea, Kosher",Boston,MA,Boston
J.P. Licks,j-p-licks-dedham,https://www.yelp.com/biz/j-p-licks-dedham,87,3.5,-71.17904663,42.23360156,FALSE,(781) 329-9100,704 Legacy Pl,"Dedham, MA 02026","Ice Cream & Frozen Yogurt, Patisserie/Cake Shop, Coffee Roasteries",Boston,MA,Boston
James Hook & Co,james-hook-and-co-boston,https://www.yelp.com/biz/james-hook-and-co-boston,1061,4,-71.0509737,42.3549617,FALSE,(617) 423-5501,15-17 Northern Ave,"Boston, MA 02110","Seafood, Seafood Markets",Boston,MA,Boston
J.P. Licks,jp-licks-brookline,https://www.yelp.com/biz/jp-licks-brookline,265,4,-71.1229185,42.343343,FALSE,(617) 738-8252,311 Harvard St,"Brookline, MA 02445",Ice Cream & Frozen Yogurt,Boston,MA,Boston
J.P. Licks,jp-licks-jamaica-plain,https://www.yelp.com/biz/jp-licks-jamaica-plain,321,4,-71.114091,42.312815,FALSE,(617) 524-6740,659 Center St,"Jamaica Plain, MA 02130","Ice Cream & Frozen Yogurt, Coffee & Tea, Kosher",Boston,MA,Boston
J.P. Licks,jp-licks-newton,https://www.yelp.com/biz/jp-licks-newton,91,3.5,-71.19268,42.33077,FALSE,(617) 244-0666,46 Langley Rd,"Newton, MA 02459","Ice Cream & Frozen Yogurt, Coffee & Tea",Boston,MA,Boston
Lukes Lobster,lukes-lobster-back-bay-boston,https://www.yelp.com/biz/lukes-lobster-back-bay-boston,1369,4,-71.07912242,42.34856014,FALSE,(857) 350-4626,75 Exeter Street,"Boston, MA 02116",Seafood,Boston,MA,Boston
Lukes Lobster,lukes-lobster-downtown-crossing-boston,https://www.yelp.com/biz/lukes-lobster-downtown-crossing-boston,313,4,-71.0581688,42.35736153,FALSE,(857) 317-4843,290 Washington St,"Boston, MA 02108",Seafood,Boston,MA,Boston
Lukes Lobster,lukes-lobster-seaport-boston,https://www.yelp.com/biz/lukes-lobster-seaport-boston,34,4,-71.04627289,42.35310938,FALSE,(617) 848-0911,53 Northern Ave,"Boston, MA 02210",Seafood,Boston,MA,Boston
Menton,menton-boston,https://www.yelp.com/biz/menton-boston,429,4,-71.0483829,42.3504581,FALSE,(617) 737-0099,354 Congress St,"Boston, MA 02210","French, Italian, Wine Bars",Boston,MA,Boston
No. 9 Park,no-9-park-boston,https://www.yelp.com/biz/no-9-park-boston,606,4,-71.06278992,42.35762024,FALSE,(617) 742-9991,9 Park St,"Boston, MA 02108","French, Italian",Boston,MA,Boston
Pauli's,paulis-boston,https://www.yelp.com/biz/paulis-boston,860,4.5,-71.05608542,42.36324421,FALSE,(857) 284-7064,65 Salem St,"Boston, MA 02113","Sandwiches, Caterers, Seafood",Boston,MA,Boston
Sam Lagrassa's,sam-lagrassas-boston-3,https://www.yelp.com/biz/sam-lagrassas-boston-3,949,4.5,-71.05994,42.35689,FALSE,(617) 357-6861,44 Province St,"Boston, MA 02108","Delis, Sandwiches",Boston,MA,Boston
Hokkaido Ramen Santouka,santouka-back-bay-boston-2,https://www.yelp.com/biz/santouka-back-bay-boston-2,393,4,-71.08542714,42.34847629,FALSE,(857) 310-5194,66 Hereford St,"Boston, MA 02115","Ramen, Soup, Noodles",Boston,MA,Boston
Hokkaido Ramen Santouka,santouka-harvard-square-cambridge-3,https://www.yelp.com/biz/santouka-harvard-square-cambridge-3,982,4,-71.11582,42.3722,FALSE,(617) 945-1460,1 Bow St,Boston Harvard Square,Ramen,Boston,MA,Boston
Seoul Restaurant,seoul-boston-boston-2,https://www.yelp.com/biz/seoul-boston-boston-2,236,3.5,-71.06486176,42.36101986,FALSE,(617) 973-6680,156 Cambridge St,"Boston, MA 02114","Korean, Sushi Bars, Japanese",Boston,MA,Boston
Shaking Crab,shaking-crab-boston-common-boston,https://www.yelp.com/biz/shaking-crab-boston-common-boston,68,3.5,-71.06623,42.35227,FALSE,(617) 936-3162,140 Boylston St,"Boston, MA 02116","Cajun/Creole, Seafood",Boston,MA,Boston
Shaking Crab,shaking-crab-cambridge-cambridge,https://www.yelp.com/biz/shaking-crab-cambridge-cambridge,86,3.5,-71.11839,42.38729,FALSE,(857) 259-6147,1815 Massachusetts Ave,"Cambridge, MA 02140","Seafood, Cajun/Creole",Boston,MA,Boston
Shaking Crab,shaking-crab-newton-newton-3,https://www.yelp.com/biz/shaking-crab-newton-newton-3,332,4,-71.20001,42.35801,FALSE,(617) 795-1630,203 Adams St,"Newton, MA 02458","Cajun/Creole, Seafood",Boston,MA,Boston
Shaking Crab,shaking-crab-quincy-quincy-2,https://www.yelp.com/biz/shaking-crab-quincy-quincy-2,181,3.5,-71.00142,42.2488699,FALSE,(617) 481-0054,18 Cottage Ave,"Quincy, MA 02169","Seafood, Cajun/Creole",Boston,MA,Boston
Sidebar,sidebar-and-grille-boston,https://www.yelp.com/biz/sidebar-and-grille-boston,28,3.5,-71.08369567,42.34611796,FALSE,(617) 236-2000,39 Dalton St,The Sheraton Boston Hotel,"Chicken Wings, American (Traditional), Lounges",Boston,MA,Boston
Sidebar,sidebar-boston-boston,https://www.yelp.com/biz/sidebar-boston-boston,226,3.5,-71.0598171,42.3563686,FALSE,(617) 357-1899,14 Bromfield St,"Boston, MA 02108","American (Traditional), Dive Bars, Pubs",Boston,MA,Boston
Sweetgreen,sweetgreen-boston,https://www.yelp.com/biz/sweetgreen-boston,509,4,-71.0786023,42.3498954,FALSE,(617) 936-3464,659 Boylston St,"Boston, MA 02116",American (New),Boston,MA,Boston
Sweetgreen,sweetgreen-boston-10,https://www.yelp.com/biz/sweetgreen-boston-10,48,4,-71.0633541,42.3452624,FALSE,(617) 712-0700,354 Harrison Ave,"Boston, MA 02118","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-12,https://www.yelp.com/biz/sweetgreen-boston-12,46,4,-71.0586299,42.35381,FALSE,(617) 870-4700,87 Summer St,"Boston, MA 02110","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-16,https://www.yelp.com/biz/sweetgreen-boston-16,18,3,-71.0564,42.35937,FALSE,(617) 996-8500,60 State St,"Boston, MA 02109","Vegetarian, Salad",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-17,https://www.yelp.com/biz/sweetgreen-boston-17,13,2.5,-71.04388367,42.35159506,FALSE,(617) 616-8500,47 Northern Ave,"Boston, MA 02210","Vegetarian, Salad",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-19,https://www.yelp.com/biz/sweetgreen-boston-19,14,3.5,-71.05407,42.35614,FALSE,(617) 648-5500,225 Franklin St,"Boston, MA 02110","Vegetarian, Salad",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-3,https://www.yelp.com/biz/sweetgreen-boston-3,139,4,-71.04772344,42.35016181,FALSE,(857) 263-7916,372 Congress St,"Boston, MA 02210","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-4,https://www.yelp.com/biz/sweetgreen-boston-4,81,4,-71.081911,42.347371,FALSE,(857) 753-4982,800 Boylston St,Ste 17,"Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-7,https://www.yelp.com/biz/sweetgreen-boston-7,90,3.5,-71.05871268,42.35770362,FALSE,(857) 990-3191,13 School St,"Boston, MA 02108","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-boston-9,https://www.yelp.com/biz/sweetgreen-boston-9,75,4,-71.1006495,42.3450074,FALSE,(857) 233-2673,132 Brookline Ave,"Boston, MA 02215","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-cambridge,https://www.yelp.com/biz/sweetgreen-cambridge,69,4,-71.1200891,42.3728442,FALSE,(617) 941-3400,39 John F Kennedy St,"Cambridge, MA 02138","Salad, Vegetarian",Boston,MA,Boston
Sweetgreen,sweetgreen-chestnut-hill,https://www.yelp.com/biz/sweetgreen-chestnut-hill,129,4,-71.17586017,42.318817,FALSE,(617) 916-0788,210 Boylston St,"Chestnut Hill, MA 02467","Salad, Vegetarian",Boston,MA,Boston
Taiwan Cafe,taiwan-cafe-boston-2,https://www.yelp.com/biz/taiwan-caf%C3%A9-boston-2,1010,3.5,-71.060239,42.351503,FALSE,(617) 426-8181,34 Oxford St,"Boston, MA 02111","Taiwanese, Chinese",Boston,MA,Boston
Taranta,taranta-cucina-meridionale-boston,https://www.yelp.com/biz/taranta-cucina-meridionale-boston,451,4,-71.0555801,42.363031,FALSE,(617) 720-0052,210 Hanover St,"Boston, MA 02113","Latin American, Italian, Cooking Classes",Boston,MA,Boston
Tenoch Mexican,tenoch-mexican-boston,https://www.yelp.com/biz/tenoch-mexican-boston,283,4,-71.051844,42.363278,FALSE,(617) 248-9537,3 Lewis St,"Boston, MA 02110","Mexican, Food Trucks",Boston,MA,Boston
Tenoch Mexican,tenoch-mexican-medford,https://www.yelp.com/biz/tenoch-mexican-medford,625,4.5,-71.10896051,42.41816983,FALSE,(781) 395-2221,24 Riverside Ave,"Medford, MA 02155",Mexican,Boston,MA,Boston
Tenoch Mexican,tenoch-mexican-somerville,https://www.yelp.com/biz/tenoch-mexican-somerville,207,4.5,-71.11932188,42.39516065,FALSE,(617) 764-1906,382 Highland Ave,"Somerville, MA 02144",Mexican,Boston,MA,Boston
The Gallows,the-gallows-boston,https://www.yelp.com/biz/the-gallows-boston,799,4,-71.07019,42.3413899,FALSE,(617) 425-0200,1395 Washington St,"Boston, MA 02118","Burgers, Bars, American (Traditional)",Boston,MA,Boston
Tico,tico-boston-boston,https://www.yelp.com/biz/tico-boston-boston,523,3.5,-71.07292,42.350461,FALSE,(617) 351-0400,222 Berkeley St,"Boston, MA 02116","Latin American, American (New)",Boston,MA,Boston
Yankee Lobster,yankee-lobster-boston,https://www.yelp.com/biz/yankee-lobster-boston,1462,4,-71.03598794,42.34792158,FALSE,(617) 345-9799,300 Northern Ave,"Boston, MA 02210",Seafood,Boston,MA,Boston
Alive and Kicking,alive-and-kicking-lobsters-cambridge,https://www.yelp.com/biz/alive-and-kicking-lobsters-cambridge,732,4.5,-71.11381531,42.36267853,FALSE,(617) 876-0451,269 Putnam Ave,"Cambridge, MA 02139","Seafood, Sandwiches",Cambridge,MA,Boston
Bon Chon,bonchon-allston-allston-2,https://www.yelp.com/biz/bonchon-allston-allston-2,967,3.5,-71.13061,42.35308,FALSE,(617) 254-8888,123 Brighton Ave,"Allston, MA 02134","Korean, Chicken Wings, Asian Fusion",Cambridge,MA,Boston
Bon Chon,bonchon-cambridge-cambridge,https://www.yelp.com/biz/bonchon-cambridge-cambridge,423,3.5,-71.120903,42.372123,FALSE,(617) 868-0981,57 Jfk St,"Cambridge, MA 02138","Korean, Chicken Wings, Asian Fusion",Cambridge,MA,Boston
J.P. Licks,j-p-licks-boston-3,https://www.yelp.com/biz/j-p-licks-boston-3,179,4.5,-71.0887018,42.3470193,FALSE,(857) 233-5805,1106 Boylston St,"Boston, MA 02215","Ice Cream & Frozen Yogurt, Coffee & Tea, Kosher",Cambridge,MA,Boston
J.P. Licks,j-p-licks-somerville,https://www.yelp.com/biz/j-p-licks-somerville,277,4,-71.12239648,42.39696591,FALSE,(617) 666-5079,4A College Ave,"Somerville, MA 02144","Ice Cream & Frozen Yogurt, Coffee & Tea",Cambridge,MA,Boston
J.P. Licks,jp-licks-boston-5,https://www.yelp.com/biz/jp-licks-boston-5,6,2,-71.062662,42.325249,FALSE,(857) 496-0156,24 District Ave,"Boston, MA 02125","Coffee & Tea, Ice Cream & Frozen Yogurt, Custom Cakes",Cambridge,MA,Boston
J.P. Licks,jp-licks-cambridge,https://www.yelp.com/biz/jp-licks-cambridge,425,4,-71.117556,42.372874,FALSE,(617) 492-1001,1312 Massachusetts Ave,"Cambridge, MA 02138","Ice Cream & Frozen Yogurt, Coffee & Tea, Kosher",Cambridge,MA,Boston
J.P. Licks,jp-licks-mission-hill-2,https://www.yelp.com/biz/jp-licks-mission-hill-2,107,3.5,-71.1041966,42.33379843,FALSE,(617) 566-6676,1618 Tremont St,One Brigham Cir,"Ice Cream & Frozen Yogurt, Coffee & Tea, Kosher",Cambridge,MA,Boston
J.P. Licks,jp-licks-somerville-3,https://www.yelp.com/biz/jp-licks-somerville-3,116,4,-71.07949069,42.39540645,FALSE,(617) 764-4960,611 Assembly Row,"Somerville, MA 02145","Ice Cream & Frozen Yogurt, Coffee & Tea, Custom Cakes",Cambridge,MA,Boston
Le's,les-restaurant-cambridge,https://www.yelp.com/biz/les-restaurant-cambridge,647,3.5,-71.11987,42.37274,FALSE,(617) 864-4100,36 JFK St,"Cambridge, MA 02138",Vietnamese,Cambridge,MA,Boston
Life Alive,life-alive-brookline,https://www.yelp.com/biz/life-alive-brookline,39,4.5,-71.11526,42.35044,FALSE,(617) 208-8259,888 Commonwealth Ave,"Brookline, MA 02446","Vegan, Vegetarian",Cambridge,MA,Boston
Life Alive,life-alive-cambridge,https://www.yelp.com/biz/life-alive-cambridge,1334,4.5,-71.10549595,42.36659301,FALSE,(617) 354-5433,765 Mass Ave,"Cambridge, MA 02139","Vegetarian, Vegan, Juice Bars & Smoothies",Cambridge,MA,Boston
Orinoco,orinoco-boston,https://www.yelp.com/biz/orinoco-boston,568,4,-71.07596,42.33892,FALSE,(617) 369-7075,477 Shawmut Ave,"Boston, MA 02118","Caribbean, Venezuelan",Cambridge,MA,Boston
Orinoco,orinoco-brookline,https://www.yelp.com/biz/orinoco-brookline,438,4,-71.1190103,42.33381918,FALSE,(617) 232-9505,22 Harvard St,"Brookline, MA 02445","Caribbean, Venezuelan",Cambridge,MA,Boston
Orinoco,orinoco-cambridge,https://www.yelp.com/biz/orinoco-cambridge,328,4,-71.12045,42.37172,FALSE,(617) 354-6900,56 John F Kennedy St,"Cambridge, MA 02138","Venezuelan, Desserts, Salad",Cambridge,MA,Boston
Kirkland Tap & Trotter,the-kirkland-tap-and-trotter-somerville-2,https://www.yelp.com/biz/the-kirkland-tap-and-trotter-somerville-2,424,3.5,-71.106949,42.378255,FALSE,(857) 259-6585,425 Washington St,"Somerville, MA 02143",American (New),Cambridge,MA,Boston
Viale,viale-cambridge,https://www.yelp.com/biz/viale-cambridge,204,4,-71.10184692,42.36406207,FALSE,(617) 576-1900,502 Massachusetts Ave,"Cambridge, MA 02139","Italian, Bars, Tapas/Small Plates",Cambridge,MA,Boston
Pig Tale Restaurant,pig-tale-restaurant-nashua,https://www.yelp.com/biz/pig-tale-restaurant-nashua,340,4,-71.515984,42.789703,FALSE,(603) 864-8740,449 Amherst St,"Nashua, NH 03063","Pizza, American (New), Burgers",Nashua,NH,Boston
Cafe Monte Carlo,cafe-monte-carlo-cape-canaveral,https://www.yelp.com/biz/cafe-monte-carlo-cape-canaveral,189,5,-80.60522,28.38114,FALSE,(321) 785-3300,7090 N Atlantic Ave,Ste 2,Cafes,Cape Canaveral,FL,Central Florida
Hemingway's,hemingways-modern-cuban-cuisine-tampa,https://www.yelp.com/biz/hemingways-modern-cuban-cuisine-tampa,129,4,-82.46414,27.96091,FALSE,(813) 435-6482,1910 N Ola Ave,Ste 117,Cuban,Tampa,FL,Central Florida
